pref_code,pref_name,muni_code,muni_name,muni_type,tri,n_wards,ward_codes,population,fraud_count_raw,fraud_count,fraud_count_frac,fraud_any,gini_2019,vrm_mean,tri_mean,elev_sd_m,TRI_pref,TRI_within,TRI_within_z,TRI_pref_z,TRI_z,pref_pop,log_pref_pop,log_pref_pop_z,Gini_z,log_pop,log_pop_z,VRM_pref_z,fraud_rate_per_100k,log_offset,pref_id
36,徳島県,36401,松茂町,町,0.7495973036951659,1,['36401'],15167,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,-46.986640993069564,-2.6206279654407245,1.2162668149976539,-1.3699005505027941,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,9.626877294051397,-0.2553089874206276,2.2639935931647255,0.0,9.626877294051397,35
36,徳島県,36388,海陽町,町,73.79071029718804,1,['36388'],9467,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,26.05447200042331,1.4531593769210422,1.2162668149976539,1.8921606262308721,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,9.15556734612889,-0.5442761903917914,2.2639935931647255,0.0,9.15556734612889,35
36,徳島県,36387,美波町,町,58.01260241486916,1,['36387'],6771,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,10.276364118104425,0.5731528498691418,1.2162668149976539,1.1875005922331265,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,8.820404065485645,-0.7497698282261497,2.2639935931647255,0.0,8.820404065485645,35
36,徳島県,36383,牟岐町,町,59.200849299023,1,['36383'],4144,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,11.464611002258266,0.639426006422739,1.2162668149976539,1.240568431294099,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,8.329416783939319,-1.050801499779548,2.2639935931647255,0.0,8.329416783939319,35
36,徳島県,36368,那賀町,町,86.32124286730921,1,['36368'],8415,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,38.58500457054448,2.1520359805916236,1.2162668149976539,2.4517819428506025,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,9.037771106624906,-0.6164988328376594,2.2639935931647255,0.0,9.037771106624906,35
36,徳島県,36342,神山町,町,74.71619516590302,1,['36342'],5319,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,26.979956869138285,1.504777272503415,1.2162668149976539,1.9334933515435124,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,8.579040594742317,-0.8977533947677576,2.2639935931647255,0.0,8.579040594742317,35
36,徳島県,36404,板野町,町,27.922639081751942,1,['36404'],13554,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,-19.81359921501279,-1.105081595565761,1.2162668149976539,-0.15633573741105247,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,9.514436985696058,-0.3242478280919893,2.2639935931647255,0.0,9.514436985696058,35
36,徳島県,36321,佐那河内村,村,56.55368110897665,1,['36321'],2362,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,8.817442812211915,0.4917831266288034,1.2162668149976539,1.1223442664760763,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,7.767263996757308,-1.395465810962598,2.2639935931647255,0.0,7.767263996757308,35
36,徳島県,36301,勝浦町,町,71.97758475554299,1,['36301'],5272,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,24.24134645877826,1.3520343039457103,1.2162668149976539,1.8111853207413262,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,8.570165076182343,-0.9031951084097023,2.2639935931647255,0.0,8.570165076182343,35
36,徳島県,36208,三好市,市,84.7028483232186,1,['36208'],26230,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,36.96661002645387,2.0617718137620327,1.2162668149976539,2.3795034438717346,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,10.17465907286092,0.08054424283451413,2.2639935931647255,0.0,10.17465907286092,35
36,徳島県,36207,美馬市,市,78.88641375054543,1,['36207'],29432,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,31.150175453780697,1.7373666045760459,1.2162668149976539,2.119737886791314,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,10.28983779678461,0.1511620471917633,2.2639935931647255,0.0,10.28983779678461,35
36,徳島県,36206,阿波市,市,40.39062886366285,1,['36206'],37761,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,-7.345609433101885,-0.4096932467769156,1.2162668149976539,0.4004923796948159,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,10.539032102959615,0.30394681646968813,2.2639935931647255,0.0,10.539032102959615,35
36,徳島県,36205,吉野川市,市,50.8924906350679,1,['36205'],41338,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,3.156252338303169,0.17603648545476944,1.2162668149976539,0.8695120066407503,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,10.629537452771782,0.35943700483602575,2.2639935931647255,0.0,10.629537452771782,35
36,徳島県,36204,阿南市,市,37.57702843317378,1,['36204'],73507,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,-10.159209863590952,-0.5666187008182733,1.2162668149976539,0.2748352483206378,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,11.205135918761307,0.7123450635024087,2.2639935931647255,0.0,11.205135918761307,35
36,徳島県,36203,小松島市,市,14.883870148679264,1,['36203'],38018,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,-32.85236814808547,-1.832304520608859,1.2162668149976539,-0.7386552036104059,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,10.545815010766098,0.3081055190506341,2.2639935931647255,0.0,10.545815010766098,35
36,徳島県,36202,鳴門市,市,32.27566776542002,1,['36202'],57837,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,-15.460570531344715,-0.8622962322862537,1.2162668149976539,0.03807320966327163,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,10.965383988267579,0.5653495564754686,2.2639935931647255,0.0,10.965383988267579,35
36,徳島県,36201,徳島市,市,20.918963170315998,1,['36201'],254416,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,-26.817275126448735,-1.4957038781226217,1.2162668149976539,-0.4691242252748029,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,12.446726001552179,1.4735825783104026,2.2639935931647255,0.0,12.446726001552179,35
36,徳島県,36302,上勝町,町,76.48410114631065,1,['36302'],1547,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,28.747862849545918,1.6033802744334638,1.2162668149976539,2.0124491235252018,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,7.344072850573066,-1.654930654372031,2.2639935931647255,0.0,7.344072850573066,35
37,香川県,37406,まんのう町,町,46.74998900859841,1,['37406'],18660,0.0,0,0.0,0,0.271,0.0034937633945905,34.026393785649354,186.61817619739116,31.986803916123705,14.763185092474707,0.8234003302773516,0.04202353128782133,0.6845053278478622,987336,13.80276568601591,-1.0757931604778834,-0.6670115343582261,9.834137474401334,-0.12823466007613488,-0.4721242867002483,0.0,9.834137474401334,36
37,香川県,37324,小豆島町,町,61.73174278628659,1,['37324'],14768,0.0,0,0.0,0,0.271,0.0034937633945905,34.026393785649354,186.61817619739116,31.986803916123705,29.744938870162883,1.6589910873810114,0.04202353128782133,1.3535996961378611,987336,13.80276568601591,-1.0757931604778834,-0.6670115343582261,9.600217956742634,-0.2716542272551252,-0.4721242867002483,0.0,9.600217956742634,36
37,香川県,37341,三木町,町,26.285290155952897,1,['37341'],28331,0.0,0,0.0,0,0.271,0.0034937633945905,34.026393785649354,186.61817619739116,31.986803916123705,-5.701513760170808,-0.3179956278945875,0.04202353128782133,-0.22946075077293093,987336,13.80276568601591,-1.0757931604778834,-0.6670115343582261,10.251711890471977,0.12778648179904295,-0.4721242867002483,0.0,10.251711890471977,36
37,香川県,37364,直島町,町,21.780230845546438,1,['37364'],3085,0.0,0,0.0,0,0.271,0.0034937633945905,34.026393785649354,186.61817619739116,31.986803916123705,-10.206573070577267,-0.5692603313357559,0.04202353128782133,-0.43065947944877514,987336,13.80276568601591,-1.0757931604778834,-0.6670115343582261,8.034306936339489,-1.2317377766522586,-0.4721242867002483,0.0,8.034306936339489,36
37,香川県,37322,土庄町,町,57.90606780872553,1,['37322'],13964,0.0,0,0.0,0,0.271,0.0034937633945905,34.026393785649354,186.61817619739116,31.986803916123705,25.919263892601826,1.4456182941574633,0.04202353128782133,1.1827426909849528,987336,13.80276568601591,-1.0757931604778834,-0.6670115343582261,9.544237868224927,-0.305976459731533,-0.4721242867002483,0.0,9.544237868224927,36
37,香川県,37404,多度津町,町,17.26354749494904,1,['37404'],23444,0.0,0,0.0,0,0.271,0.0034937633945905,34.026393785649354,186.61817619739116,31.986803916123705,-14.723256421174664,-0.8211733527701233,0.04202353128782133,-0.6323773449322284,987336,13.80276568601591,-1.0757931604778834,-0.6670115343582261,10.06236987759632,0.011698051867143826,-0.4721242867002483,0.0,10.06236987759632,36
37,香川県,37403,琴平町,町,19.485355175370923,1,['37403'],9157,0.0,0,0.0,0,0.271,0.0034937633945905,34.026393785649354,186.61817619739116,31.986803916123705,-12.501448740752782,-0.697254485234915,0.04202353128782133,-0.5331500429452147,987336,13.80276568601591,-1.0757931604778834,-0.6670115343582261,9.122273893107732,-0.5646889061411267,-0.4721242867002483,0.0,9.122273893107732,36
37,香川県,37387,綾川町,町,25.7252605857212,1,['37387'],24255,0.0,0,0.0,0,0.271,0.0034937633945905,34.026393785649354,186.61817619739116,31.986803916123705,-6.261543330402507,-0.34923065815434606,0.04202353128782133,-0.25447201694898736,987336,13.80276568601591,-1.0757931604778834,-0.6670115343582261,10.096378060679317,0.0325489793447894,-0.4721242867002483,0.0,10.096378060679317,36
37,香川県,37386,宇多津町,町,17.30780968334206,1,['37386'],18478,0.0,0,0.0,0,0.271,0.0034937633945905,34.026393785649354,186.61817619739116,31.986803916123705,-14.678994232781644,-0.8187046781370192,0.04202353128782133,-0.6304005682863549,987336,13.80276568601591,-1.0757931604778834,-0.6670115343582261,9.824336114230691,-0.13424402110555533,-0.4721242867002483,0.0,9.824336114230691,36
37,香川県,37208,三豊市,市,30.27886745041652,1,['37208'],65959,0.0,0,0.0,0,0.271,0.0034937633945905,34.026393785649354,186.61817619739116,31.986803916123705,-1.707936465707185,-0.09525826853399509,0.04202353128782133,-0.05110512454205132,987336,13.80276568601591,-1.0757931604778834,-0.6670115343582261,11.096788615855154,0.6459157059039381,-0.4721242867002483,0.0,11.096788615855154,36
37,香川県,37205,観音寺市,市,33.223062722660686,1,['37205'],60466,0.0,0,0.0,0,0.271,0.0034937633945905,34.026393785649354,186.61817619739116,31.986803916123705,1.2362588065369806,0.06895096845529022,0.04202353128782133,0.08038445304921729,987336,13.80276568601591,-1.0757931604778834,-0.6670115343582261,11.00983650257596,0.5926040601865602,-0.4721242867002483,0.0,11.00983650257596,36
