prefecture,year,crime_count
宮崎,2020,3694
富山,2020,4539
山口,2020,4137
山形,2020,3085
山梨,2020,3128
岐阜,2020,10447
岡山,2020,7832
岩手,2020,2553
島根,2020,1936
広島,2020,11726
徳島,2020,2414
愛媛,2020,6433
愛知,2020,39897
新潟,2020,8561
東京,2020,82764
栃木,2020,9059
沖縄,2020,5998
滋賀,2020,6039
熊本,2020,5081
石川,2020,3595
神奈川,2020,35241
福井,2020,2764
福岡,2020,27627
福島,2020,7655
秋田,2020,2382
群馬,2020,9965
茨城,2020,16301
長崎,2020,2799
長野,2020,6944
青森,2020,3409
静岡,2020,15370
香川,2020,4543
高知,2020,2719
鳥取,2020,1814
鹿児島,2020,5113
三重,2021,7410
京,2021,10483
佐賀,2021,2821
兵庫,2021,30003
北海道,2021,0
千葉,2021,32638
和歌山,2021,3310
埼玉,2021,40166
大分,2021,2887
大阪,2021,62690
奈良,2021,5148
宮城,2021,9398
宮崎,2021,3535
富山,2021,4546
山口,2021,3871
山形,2021,3053
山梨,2021,2748
岐阜,2021,9479
岡山,2021,7535
岩手,2021,2507
島根,2021,1849
広島,2021,11181
徳島,2021,2362
愛媛,2021,5804
愛知,2021,37832
新潟,2021,7746
東京,2021,75288
栃木,2021,9027
沖縄,2021,5833
滋賀,2021,5814
熊本,2021,5187
石川,2021,3409
神奈川,2021,33252
福井,2021,2714
福岡,2021,26337
福島,2021,6627
秋田,2021,1984
群馬,2021,9079
茨城,2021,14277
長崎,2021,3155
長野,2021,5959
青森,2021,3067
静岡,2021,14440
香川,2021,3801
高知,2021,2859
鳥取,2021,1923
鹿児島,2021,4641
三重,2022,7647
京,2022,10578
佐賀,2022,2861
兵庫,2022,33018
北海道,2022,19604
千葉,2022,32728
和歌山,2022,3438
埼玉,2022,41983
大分,2022,2794
大阪,2022,68807
奈良,2022,5251
宮城,2022,9897
宮崎,2022,3645
富山,2022,3929
山口,2022,3845
山形,2022,2885
山梨,2022,2890
岐阜,2022,9654
岡山,2022,8007
岩手,2022,2655
島根,2022,1834
広島,2022,12147
徳島,2022,2256
愛媛,2022,5970
愛知,2022,41248
新潟,2022,7433
東京,2022,78475
栃木,2022,8883
沖縄,2022,6776
滋賀,2022,6830
熊本,2022,4944
石川,2022,3842
神奈川,2022,36575
福井,2022,2664
福岡,2022,28773
福島,2022,6913
秋田,2022,1871
群馬,2022,10159
茨城,2022,15986
長崎,2022,3244
長野,2022,6635
青森,2022,3462
静岡,2022,14269
香川,2022,4173
高知,2022,2723
鳥取,2022,2017
鹿児島,2022,5113
三重,2023,9955
京,2023,11885
佐賀,2023,3750
兵庫,2023,37267
北海道,2023,22232
千葉,2023,37538
和歌山,2023,4028
埼玉,2023,49653
大分,2023,2993
大阪,2023,80148
奈良,2023,5852
宮城,2023,11583
宮崎,2023,4214
富山,2023,4501
山口,2023,4186
山形,2023,2980
山梨,2023,3365
岐阜,2023,11919
岡山,2023,9230
岩手,2023,2856
島根,2023,1956
広島,2023,14188
徳島,2023,2673
愛媛,2023,6809
愛知,2023,46832
新潟,2023,8672
東京,2023,89098
栃木,2023,11932
沖縄,2023,9124
滋賀,2023,7771
熊本,2023,6174
石川,2023,4775
神奈川,2023,43846
福井,2023,2840
福岡,2023,33284
福島,2023,8003
秋田,2023,2403
群馬,2023,13326
茨城,2023,19767
長崎,2023,3786
長野,2023,7769
青森,2023,4815
静岡,2023,15612
香川,2023,5761
高知,2023,3179
鳥取,2023,2100
鹿児島,2023,6721
