prefecture,year,crime_count,tri,population,tri_z,log_pop,t,tri_x_t
福島,2007,19855,31.14665666094769,1901053.0,-0.18168333515547966,14.457918501145048,1,-0.18168333515547966
秋田,2007,6699,31.544540536562607,1000223.0,-0.15161131821328477,13.81573353310347,1,-0.15161131821328477
群馬,2007,27769,35.37874920856942,1981202.0,0.13817772630706265,14.49921428918491,1,0.13817772630706265
茨城,2007,46087,8.279642799800818,2936184.0,-1.909969577434242,14.892621337052569,1,-1.909969577434242
長崎,2007,10730,37.30671146027262,1365391.0,0.28389288857024414,14.126951392469568,1,0.28389288857024414
長野,2007,21422,56.24581769386356,2101891.0,1.7153083301896734,14.558347973698664,1,1.7153083301896734
青森,2007,11784,25.077956956509244,1292709.0,-0.6403549514579032,14.072250574420002,1,-0.6403549514579032
静岡,2007,45472,36.26075695912359,3624152.0,0.20483976928837402,15.103130887870297,1,0.20483976928837402
香川,2007,13010,31.986803916123705,987336.0,-0.11818510353564957,13.80276568601591,1,-0.11818510353564957
高知,2007,11165,63.17883649415797,717480.0,2.239305083013082,13.48350035166295,1,2.239305083013082
鳥取,2007,6261,37.65155750378689,566052.0,0.3099563123442864,13.246441225756794,1,0.3099563123442864
鹿児島,2007,13625,34.11404146783006,1643437.0,0.04259126267452362,14.312300338525404,1,0.04259126267452362
三重,2008,25348,34.85373994116153,1824637.0,0.09849758707071035,14.416891621105094,2,0.1969951741414207
京,2008,50259,31.26978706868641,2555068.0,-0.17237715329049316,14.753589395747191,2,-0.3447543065809863
佐賀,2008,8683,27.415622237567113,828781.0,-0.46367448199050065,13.627711225514156,2,-0.9273489639810013
兵庫,2008,97527,33.43276950065225,5570618.0,-0.008899193196680871,15.533016557274834,2,-0.017798386393361742
千葉,2008,100827,7.7578900082776,6311190.0,-1.9494035926028013,15.657834806277036,2,-3.8988071852056025
和歌山,2008,14302,46.4366610498149,964598.0,0.9739334143738684,13.779466713216559,2,1.9478668287477368
埼玉,2008,122108,12.19376327999905,7377288.0,-1.614140807765194,15.813916649364657,2,-3.228281615530388
大分,2008,9840,39.00662127000445,1160218.0,0.4123718738506981,13.964118476460206,2,0.8247437477013962
大阪,2008,210293,17.783744614549438,10725709.0,-1.1916506700601754,16.188154127819477,2,-2.383301340120351
奈良,2008,18835,35.50260287463157,1362781.0,0.14753857195183245,14.125038022787404,2,0.2950771439036649
宮城,2008,28583,20.37070067118007,2303098.0,-0.9961288328319627,14.64976573108895,2,-1.9922576656639255
宮崎,2008,11105,50.01463976760754,1103755.0,1.244356628820509,13.914228560901371,2,2.488713257641018
富山,2008,10112,43.294721943217034,1063293.0,0.7364660229171697,13.876881254339034,2,1.4729320458343393
山口,2008,14000,38.18173809978662,1383079.0,0.35002729999284743,14.139822731213604,2,0.7000545999856949
山形,2008,7924,38.47504315257469,1095383.0,0.37219526169534867,13.906614631766379,2,0.7443905233906973
山梨,2008,7890,61.35151765963628,832769.0,2.1011965384896256,13.632511571766825,2,4.202393076979251
岐阜,2008,29799,34.803978168759436,2044114.0,0.09473659811272184,14.530475001744605,2,0.18947319622544367
岡山,2008,27357,34.5186564779249,1911722.0,0.07317201797613941,14.463514964532704,2,0.14634403595227882
岩手,2008,9111,37.59918131481275,1250142.0,0.3059977260865155,14.038767702826492,2,0.611995452173031
島根,2008,5802,42.33789124458688,686126.0,0.6641488702415322,13.438816563311503,2,1.3282977404830645
広島,2008,30129,41.40092484685926,2838632.0,0.593333059112754,14.85883280394658,2,1.186666118225508
徳島,2008,8451,47.73623829676473,750519.0,1.072155311221455,13.528520246190894,2,2.14431062244291
愛媛,2008,17829,57.21635612050778,1381761.0,1.7886615113508608,14.138869330582946,2,3.5773230227017216
愛知,2008,144694,10.883867203704943,15130618.0,-1.7131426005318728,16.532230930931686,2,-3.4262852010637457
新潟,2008,23435,38.591502737018445,2259309.0,0.3809972635132434,14.630569572284342,2,0.7619945270264868
東京,2008,212152,16.955522243991485,27481464.0,-1.2542476202905202,17.129022299008525,2,-2.5084952405810403
栃木,2008,28550,18.515072814739696,1976121.0,-1.136376969932374,14.49664639023299,2,-2.272753939864748
沖縄,2008,15353,17.74619335350651,1475800.0,-1.1944887899928782,14.204710773606402,2,-2.3889775799857564
滋賀,2008,15455,21.63035830865412,1420080.0,-0.9009240554155826,14.166223766018685,2,-1.8018481108311653
熊本,2008,17429,35.4484955253761,1780079.0,0.14344914480178017,14.392168303305887,2,0.28689828960356034
石川,2008,9689,23.969825602776154,1145948.0,-0.7241073900108305,13.951742800009185,2,-1.448214780021661
神奈川,2008,113556,25.07439573979091,14462286.0,-0.6406241078023847,16.48705485348609,2,-1.2812482156047693
福井,2008,6740,50.37581488422377,786503.0,1.2716542020363042,13.575351815840646,2,2.5433084040726084
福岡,2008,90356,23.005781585190512,4546317.0,-0.7969697244923494,15.329828012595692,2,-1.5939394489846987
福島,2008,19582,31.14665666094769,1901053.0,-0.18168333515547966,14.457918501145048,2,-0.3633666703109593
秋田,2008,6134,31.544540536562607,1000223.0,-0.15161131821328477,13.81573353310347,2,-0.30322263642656955
群馬,2008,26730,35.37874920856942,1981202.0,0.13817772630706265,14.49921428918491,2,0.2763554526141253
茨城,2008,43885,8.279642799800818,2936184.0,-1.909969577434242,14.892621337052569,2,-3.819939154868484
長崎,2008,10323,37.30671146027262,1365391.0,0.28389288857024414,14.126951392469568,2,0.5677857771404883
長野,2008,21105,56.24581769386356,2101891.0,1.7153083301896734,14.558347973698664,2,3.430616660379347
青森,2008,11015,25.077956956509244,1292709.0,-0.6403549514579032,14.072250574420002,2,-1.2807099029158064
静岡,2008,42946,36.26075695912359,3624152.0,0.20483976928837402,15.103130887870297,2,0.40967953857674805
香川,2008,11425,31.986803916123705,987336.0,-0.11818510353564957,13.80276568601591,2,-0.23637020707129913
高知,2008,10439,63.17883649415797,717480.0,2.239305083013082,13.48350035166295,2,4.478610166026164
鳥取,2008,6005,37.65155750378689,566052.0,0.3099563123442864,13.246441225756794,2,0.6199126246885728
鹿児島,2008,13655,34.11404146783006,1643437.0,0.04259126267452362,14.312300338525404,2,0.08518252534904724
三重,2009,25540,34.85373994116153,1824637.0,0.09849758707071035,14.416891621105094,3,0.2954927612121311
京,2009,44538,31.26978706868641,2555068.0,-0.17237715329049316,14.753589395747191,3,-0.5171314598714795
