year,경찰서,살인,강도,절도,폭력,total,lat,lon,tri,province,pop,density,elevation,grdp_per_capita,median_age,young_male_ratio
2019,강원동해서,1,2,170,551,724,37.5249551,129.1165383,235.1080674460493,강원,90176.4705882353,91.0981697171381,32.0,31.2,46.5,0.105
2019,강원삼척서,0,0,126,472,598,37.4462956,129.174107,177.67634446198875,강원,90176.4705882353,91.0981697171381,59.0,31.2,46.5,0.105
2019,강원속초서,4,3,402,894,1303,38.196668,128.5688848,317.8920848573444,강원,90176.4705882353,91.0981697171381,20.0,31.2,46.5,0.105
2019,강원양구서,0,0,109,69,178,38.1055376,127.9910471,520.7953282922014,강원,90176.4705882353,91.0981697171381,201.0,31.2,46.5,0.105
2019,강원영월서,1,0,87,118,206,37.1846143,128.4676,490.95128618068185,강원,90176.4705882353,91.0981697171381,209.0,31.2,46.5,0.105
2019,강원원주서,1,8,1304,1796,3109,37.3481613,127.9579836,452.0949293962359,강원,90176.4705882353,91.0981697171381,134.0,31.2,46.5,0.105
2019,강원인제서,0,0,30,96,126,38.0706646,128.1727969,602.7634362433139,강원,90176.4705882353,91.0981697171381,225.0,31.2,46.5,0.105
2019,강원정선서,2,0,220,236,458,37.3808,128.6608,683.7345933661271,강원,90176.4705882353,91.0981697171381,317.0,31.2,46.5,0.105
2019,강원철원서,0,1,66,117,184,38.1463777,127.3116017,435.7225774229568,강원,90176.4705882353,91.0981697171381,153.0,31.2,46.5,0.105
2019,강원춘천서,7,3,879,1462,2351,37.8702705,127.7236578,404.2182768729438,강원,90176.4705882353,91.0981697171381,81.0,31.2,46.5,0.105
2019,강원태백서,0,4,90,296,390,37.1023747,129.0083793,527.0342780056355,강원,90176.4705882353,91.0981697171381,590.0,31.2,46.5,0.105
2019,강원평창서,0,0,69,160,229,37.369323,128.3893168,494.6363551117315,강원,90176.4705882353,91.0981697171381,305.0,31.2,46.5,0.105
2019,강원홍천서,0,0,194,402,596,37.7071837,127.907886,380.2084367872151,강원,90176.4705882353,91.0981697171381,139.0,31.2,46.5,0.105
2019,강원화천서,0,0,60,68,128,38.1062187,127.7073003,514.2364575840926,강원,90176.4705882353,91.0981697171381,116.0,31.2,46.5,0.105
2019,강원횡성서,3,0,90,192,285,37.4918066,127.9947112,324.58053182182044,강원,90176.4705882353,91.0981697171381,155.0,31.2,46.5,0.105
2019,충북괴산서,0,2,347,279,628,36.8104475,127.7915196,304.3474554099539,충북,132916.66666666666,215.33684352639395,120.0,42.8,44.2,0.115
2019,충북단양서,1,0,71,158,230,36.9855817,128.3650067,603.584852744918,충북,132916.66666666666,215.33684352639395,201.0,42.8,44.2,0.115
2019,충북보은서,0,1,91,136,228,36.4821968,127.7149414,311.37939930879145,충북,132916.66666666666,215.33684352639395,157.0,42.8,44.2,0.115
2019,충북영동서,3,2,124,183,312,36.177972,127.776105,321.764902653577,충북,132916.66666666666,215.33684352639395,126.0,42.8,44.2,0.115
2019,충북옥천서,0,0,89,204,293,36.2987109,127.5683619,380.316216177765,충북,132916.66666666666,215.33684352639395,98.0,42.8,44.2,0.115
2019,충북음성서,1,1,331,564,897,36.9265837,127.6897379,329.4859404575178,충북,132916.66666666666,215.33684352639395,147.0,42.8,44.2,0.115
2019,충북제천서,3,4,386,587,980,37.1341119,128.1982283,332.93457352041435,충북,132916.66666666666,215.33684352639395,246.0,42.8,44.2,0.115
2019,충북진천서,2,1,245,440,688,36.8562802,127.4454003,210.69202905296515,충북,132916.66666666666,215.33684352639395,70.0,42.8,44.2,0.115
2019,충북청주청원서,5,8,1084,1772,2869,36.6511983,127.485539,214.1615390904641,충북,132916.66666666666,215.33684352639395,46.0,42.8,44.2,0.115
2019,충북청주흥덕서,2,11,1438,1566,3017,36.6565007,127.4550551,160.18556957977424,충북,132916.66666666666,215.33684352639395,58.0,42.8,44.2,0.115
2019,충북충주서,5,2,832,956,1795,36.991,127.9259,297.73594155462325,충북,132916.66666666666,215.33684352639395,105.0,42.8,44.2,0.115
2019,충북청주상당서,7,3,909,1346,2265,36.6093854,127.5326389,295.2430615799007,충북,132916.66666666666,215.33684352639395,97.0,42.8,44.2,0.115
2019,충남천안서북서,9,11,1836,2050,3906,36.8577425,127.1367285,141.3811618216701,충남,141333.33333333334,257.7194262095794,45.0,52.4,44.8,0.112
2019,충남천안동남서,4,2,1493,1377,2876,36.7865731,127.1563405,166.73199407927663,충남,141333.33333333334,257.7194262095794,43.0,52.4,44.8,0.112
2019,충남서산서,2,1,466,994,1463,36.7847,126.4503,104.12582007364423,충남,141333.33333333334,257.7194262095794,43.0,52.4,44.8,0.112
2019,충남아산서,7,12,1297,2014,3330,36.7894,127.0017,263.9857098065978,충남,141333.33333333334,257.7194262095794,28.0,52.4,44.8,0.112
2019,충남논산서,7,0,509,643,1159,36.1584308,127.0169865,60.506266939459806,충남,141333.33333333334,257.7194262095794,9.0,52.4,44.8,0.112
2019,충남공주서,0,3,374,472,849,36.4467,127.119,241.38593166712528,충남,141333.33333333334,257.7194262095794,38.0,52.4,44.8,0.112
2019,충남보령서,1,0,329,477,807,36.3515392,126.5967112,226.069209599477,충남,141333.33333333334,257.7194262095794,12.0,52.4,44.8,0.112
