발생년도,경찰서,살인,강도,절도,폭력,tri,elevation,elev_std,elev_range,crime_name,lat,lon,province,log_tri,tri_within,total_crime,province_full,province_pop,province_area,province_density,n_stations,station_pop_estimate,log_pop,theft_rate,violence_rate,total_rate,district_pop,district_density,district_matched,final_pop,final_density,grdp_pc,median_age,young_male_ratio,unemployment,elderly_ratio
2024,부산서부서,3,1,662,471,226.917363500233,27.0,78.88971386187399,349.0,부산서부서,35.107429,129.018802,부산,5.428983122468452,-0.6071151786884202,1137,부산광역시,3293000,770,4276.623376623376,15,219533.3333333333,12.299259360256292,301.5487397509869,214.54600668083813,517.9167931976921,101000.0,7271.0,True,101000.0,7271.0,29.8,46.8,0.108,3.5,0.217
2024,부산남부서,6,1,1435,1822,328.72954012843485,110.0,106.61983282539266,432.0,부산남부서,35.1530548,129.0896248,부산,5.798272743056637,0.3070707109817617,3264,부산광역시,3293000,770,4276.623376623376,15,219533.3333333333,12.299259360256292,653.6592772547829,829.9423018524143,1486.7901609474643,259000.0,9660.0,True,259000.0,9660.0,38.0,47.5,0.102,3.5,0.217
2024,부산해운대서,2,1,1672,1398,205.2653246273656,11.0,104.57002927564837,545.0,부산해운대서,35.1631,129.1635,부산,5.3291633236781815,-0.8015318887097514,3073,부산광역시,3293000,770,4276.623376623376,15,219533.3333333333,12.299259360256292,761.615548132402,636.8053446705131,1399.7874278773154,399000.0,7756.0,True,399000.0,7756.0,42.0,43.5,0.125,3.5,0.217
2024,부산사상서,5,1,797,1070,260.52682366864786,5.0,92.6767535210132,370.0,부산사상서,35.1525,128.9831,부산,5.56653685441514,-0.3053310968334605,1873,부산광역시,3293000,770,4276.623376623376,15,219533.3333333333,12.299259360256292,363.0428180989978,487.39750986941993,853.1733981172183,203000.0,5630.0,True,203000.0,5630.0,45.0,46.2,0.108,3.5,0.217
2024,부산금정서,4,4,878,860,521.3686039413033,24.0,143.73964804379162,523.0,부산금정서,35.243,129.0919,부산,6.258373476503223,2.0368040274602977,1746,부산광역시,3293000,770,4276.623376623376,15,219533.3333333333,12.299259360256292,399.9392651078044,391.74005466140295,795.3234133009414,226000.0,3468.0,True,226000.0,3468.0,28.0,45.2,0.118,3.5,0.217
2024,부산사하서,5,3,953,1220,137.25565729308963,12.0,58.407977586586746,282.0,부산사하서,35.0856519,128.9783168,부산,4.929104560310889,-1.4122002812066876,2181,부산광역시,3293000,770,4276.623376623376,15,219533.3333333333,12.299259360256292,434.10264196781054,555.7242635894321,993.4709990889766,293000.0,7034.0,True,293000.0,7034.0,32.0,46.8,0.105,3.5,0.217
2024,부산연제서,6,4,1056,1307,425.3693863197201,36.0,140.33251821421592,608.0,부산연제서,35.182575,129.1045776,부산,6.055306074588742,1.1748135163496778,2373,부산광역시,3293000,770,4276.623376623376,15,219533.3333333333,12.299259360256292,481.0203461888855,595.3537807470392,1080.929243850592,199000.0,16473.0,True,199000.0,16473.0,35.0,44.5,0.118,3.5,0.217
2024,부산강서서,3,2,446,621,162.49684889089667,7.0,84.97755874356926,385.0,부산강서서,35.1164699,128.9062654,부산,5.096793717313032,-1.185556062790234,1072,부산광역시,3293000,770,4276.623376623376,15,219533.3333333333,12.299259360256292,203.15821439416945,282.87276040085027,488.3085332523535,137000.0,755.0,True,137000.0,755.0,29.8,46.8,0.108,3.5,0.217
2024,부산북부서,5,2,1137,890,451.20972646680303,17.0,138.2831928565861,552.0,부산북부서,35.2301141,129.0093531,부산,6.114146068827063,1.406837574071253,2034,부산광역시,3293000,770,4276.623376623376,15,219533.3333333333,12.299259360256292,517.9167931976921,405.4054054054054,926.5107804433646,282000.0,7363.0,True,282000.0,7363.0,28.0,44.8,0.115,3.5,0.217
2024,부산기장서,1,1,450,660,227.74489694523032,31.0,109.5564542794602,441.0,부산기장서,35.2447,129.2225,부산,5.432607395470642,-0.5996846392018775,1112,부산광역시,3293000,770,4276.623376623376,15,219533.3333333333,12.299259360256292,204.98026116003643,300.6377163680534,506.5290009110233,192000.0,880.0,True,192000.0,880.0,38.0,43.8,0.122,3.5,0.217
2024,대구중부서,2,1,1175,997,276.65847434628535,47.0,118.1307545538746,573.0,대구중부서,35.8718293,128.5904944,대구,5.626391848908442,-0.1796883096325855,2175,대구광역시,2353000,883,2664.779161947905,11,213909.0909090909,12.27330639491113,549.2987675308117,466.08584785380367,1016.787080322992,,,False,213909.0909090909,2664.779161947905,26.5,45.2,0.112,3.3,0.195
2024,대구동부서,4,9,1244,1650,346.8277116592932,55.0,137.1861851015475,558.0,대구동부서,35.873552,128.720647,대구,5.851707275742382,1.1859968280589983,2907,대구광역시,2353000,883,2664.779161947905,11,213909.0909090909,12.27330639491113,581.5554611134721,771.3557161070972,1358.9885252868678,,,False,213909.0909090909,2664.779161947905,26.5,45.2,0.112,3.3,0.195
2024,대구서부서,3,2,1046,973,236.4714407095362,33.0,116.13123590862882,674.0,대구서부서,35.871516,128.5582208,대구,5.4700473666000695,-0.9618378194070916,2024,대구광역시,2353000,883,2664.779161947905,11,213909.0909090909,12.27330639491113,488.99277518062047,454.8661283467913,946.1963450913728,,,False,213909.0909090909,2664.779161947905,26.5,45.2,0.112,3.3,0.195
2024,대구남부서,0,0,676,765,336.7933285862411,81.0,164.34630130313096,582.0,대구남부서,35.8429297,128.5835917,대구,5.822434254581992,0.9907003084796008,1441,대구광역시,2353000,883,2664.779161947905,11,213909.0909090909,12.27330639491113,316.0220994475138,357.62855928601783,673.6506587335316,,,False,213909.0909090909,2664.779161947905,26.5,45.2,0.112,3.3,0.195
2024,대구북부서,2,1,854,788,264.48238015224024,32.0,120.6365831130225,506.0,대구북부서,35.8861304,128.5829092,대구,5.581548473704765,-0.4166683811383304,1645,대구광역시,2353000,883,2664.779161947905,11,213909.0909090909,12.27330639491113,399.2350191245219,368.380790480238,769.0182745431365,,,False,213909.0909090909,2664.779161947905,26.5,45.2,0.112,3.3,0.195
